epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3304.23,1.68901,1.92453,1.33128,0.82675,0.77548,0.84268,0.55762,1.69923,1.55106,1.32141,0.00899942,0.00899942,0.00899942
43,3381.06,1.68934,1.92818,1.34207,0.83793,0.77866,0.84318,0.56567,1.66359,1.54722,1.3177,0.00895182,0.00895182,0.00895182
44,3458.83,1.68147,1.91105,1.33065,0.82524,0.78955,0.83979,0.55955,1.66312,1.53904,1.31782,0.00890325,0.00890325,0.00890325
45,3535.52,1.69254,1.93966,1.34523,0.85171,0.7715,0.84151,0.56045,1.66513,1.53226,1.31283,0.00885371,0.00885371,0.00885371
46,3612.29,1.67091,1.8879,1.33205,0.86636,0.75876,0.83966,0.56454,1.65828,1.55025,1.31359,0.00880323,0.00880323,0.00880323
47,3689.09,1.66272,1.87238,1.32627,0.8608,0.78105,0.85094,0.57557,1.63769,1.4929,1.30511,0.0087518,0.0087518,0.0087518
48,3766.84,1.67056,1.89741,1.32913,0.85195,0.78805,0.85413,0.57487,1.64886,1.50553,1.307,0.00869946,0.00869946,0.00869946
49,3843.55,1.65594,1.87444,1.32182,0.86899,0.78742,0.86166,0.58667,1.6283,1.45862,1.29265,0.0086462,0.0086462,0.0086462
50,3920.75,1.65335,1.86236,1.31866,0.85991,0.78503,0.86028,0.57754,1.6493,1.45826,1.29528,0.00859204,0.00859204,0.00859204
51,3997.55,1.64124,1.8496,1.3211,0.858,0.80342,0.86757,0.59668,1.6011,1.42922,1.26711,0.008537,0.008537,0.008537
52,4075.01,1.63529,1.83074,1.31631,0.84564,0.79383,0.85587,0.58615,1.61707,1.46159,1.27269,0.00848108,0.00848108,0.00848108
53,4151.73,1.64028,1.84175,1.3115,0.8796,0.79697,0.87107,0.59756,1.58432,1.38792,1.26511,0.00842431,0.00842431,0.00842431
54,4228.91,1.62129,1.82241,1.30634,0.86865,0.81131,0.86854,0.60075,1.57373,1.40777,1.27171,0.0083667,0.0083667,0.0083667
55,4306.11,1.60956,1.78244,1.30574,0.87484,0.80334,0.86534,0.59361,1.59523,1.44201,1.2737,0.00830825,0.00830825,0.00830825
56,4382.89,1.63423,1.81188,1.31759,0.86274,0.81572,0.87296,0.60612,1.55997,1.37746,1.25486,0.00824899,0.00824899,0.00824899
57,4460.09,1.62104,1.78805,1.30156,0.87481,0.80672,0.87275,0.60154,1.59868,1.37493,1.25935,0.00818893,0.00818893,0.00818893
58,4536.91,1.592,1.75981,1.29506,0.86951,0.81698,0.87674,0.60624,1.58167,1.36408,1.26557,0.00812809,0.00812809,0.00812809
59,4614.03,1.58402,1.75107,1.2958,0.86018,0.80732,0.86803,0.6048,1.5633,1.37478,1.25742,0.00806647,0.00806647,0.00806647
60,4690.69,1.59944,1.75606,1.28859,0.85318,0.82484,0.87925,0.61925,1.54853,1.33471,1.2527,0.0080041,0.0080041,0.0080041
61,4768.29,1.60134,1.76398,1.2999,0.88223,0.80334,0.87423,0.61423,1.55904,1.34602,1.25561,0.00794099,0.00794099,0.00794099
62,4844.94,1.56973,1.72229,1.28094,0.87856,0.80653,0.87484,0.61526,1.55683,1.31943,1.25476,0.00787715,0.00787715,0.00787715
63,4922.4,1.57784,1.72298,1.27845,0.87582,0.82404,0.87473,0.61513,1.5396,1.32,1.24445,0.00781261,0.00781261,0.00781261
64,4999.56,1.56527,1.70236,1.27503,0.8728,0.8336,0.88577,0.61866,1.53606,1.29904,1.23535,0.00774737,0.00774737,0.00774737
65,5077.45,1.55243,1.68756,1.26874,0.86902,0.82882,0.88189,0.61752,1.53818,1.30253,1.23541,0.00768145,0.00768145,0.00768145
66,5154.7,1.55419,1.68537,1.27477,0.86856,0.84156,0.89068,0.62505,1.52219,1.27038,1.23825,0.00761488,0.00761488,0.00761488
67,5232.31,1.55636,1.6956,1.2748,0.85493,0.84634,0.88529,0.62555,1.52974,1.26862,1.24004,0.00754766,0.00754766,0.00754766
68,5309.76,1.5398,1.68668,1.26792,0.89343,0.8277,0.8878,0.6231,1.54782,1.27381,1.24019,0.00747982,0.00747982,0.00747982
69,5387.04,1.53354,1.64534,1.2581,0.87845,0.84005,0.89081,0.63159,1.51751,1.24536,1.22745,0.00741136,0.00741136,0.00741136
70,5465.26,1.52037,1.62013,1.25804,0.88221,0.84076,0.89129,0.63338,1.50976,1.25159,1.22758,0.00734231,0.00734231,0.00734231
71,5543.07,1.52049,1.63062,1.26294,0.85744,0.85236,0.88852,0.63343,1.51453,1.25244,1.23022,0.00727268,0.00727268,0.00727268
72,5620.32,1.51923,1.63622,1.25112,0.89197,0.83997,0.88862,0.63712,1.50086,1.23725,1.22289,0.0072025,0.0072025,0.0072025
73,5698,1.50766,1.60615,1.25031,0.87683,0.84475,0.88812,0.64214,1.48763,1.24189,1.21712,0.00713177,0.00713177,0.00713177
74,5775.88,1.51903,1.61319,1.25512,0.88446,0.84104,0.89237,0.64266,1.48443,1.22414,1.21205,0.00706051,0.00706051,0.00706051
75,5853.94,1.51383,1.63314,1.25397,0.87594,0.85111,0.89522,0.64217,1.47323,1.23675,1.20257,0.00698875,0.00698875,0.00698875
76,5931.39,1.51457,1.61456,1.2551,0.89254,0.84076,0.89603,0.64414,1.46772,1.23084,1.1969,0.0069165,0.0069165,0.0069165
77,6009.5,1.49335,1.5918,1.2389,0.87379,0.85442,0.89633,0.64852,1.47422,1.20222,1.1962,0.00684378,0.00684378,0.00684378
78,6087.9,1.48518,1.59451,1.23969,0.87164,0.86385,0.89737,0.64922,1.47921,1.21223,1.20528,0.00677061,0.00677061,0.00677061
79,6165.96,1.50242,1.61494,1.25442,0.90126,0.83678,0.89783,0.65269,1.46158,1.19709,1.19589,0.006697,0.006697,0.006697
80,6244.06,1.47317,1.56246,1.2343,0.88444,0.85306,0.8996,0.65636,1.44629,1.18382,1.19493,0.00662297,0.00662297,0.00662297
81,6322.39,1.4669,1.55347,1.23896,0.88151,0.85748,0.9001,0.65413,1.46216,1.17642,1.19861,0.00654854,0.00654854,0.00654854
82,6399.29,1.46525,1.5413,1.22901,0.88491,0.85669,0.89902,0.65459,1.46788,1.19617,1.19544,0.00647373,0.00647373,0.00647373
83,6476.16,1.47128,1.5495,1.23236,0.88536,0.85669,0.90012,0.6572,1.46202,1.1934,1.18609,0.00639856,0.00639856,0.00639856
84,6553.72,1.47058,1.55703,1.23486,0.89136,0.84475,0.90151,0.65918,1.44865,1.19136,1.18342,0.00632305,0.00632305,0.00632305
85,6630.92,1.45213,1.53104,1.2221,0.88324,0.8535,0.90302,0.66049,1.43945,1.17202,1.17786,0.00624721,0.00624721,0.00624721
86,6707.96,1.44999,1.53413,1.22049,0.89456,0.85111,0.90281,0.66188,1.44024,1.17515,1.179,0.00617106,0.00617106,0.00617106
87,6785.54,1.44243,1.52211,1.21596,0.88796,0.85813,0.90374,0.66534,1.43562,1.15119,1.17538,0.00609463,0.00609463,0.00609463
88,6862.83,1.44802,1.51413,1.2154,0.88626,0.86235,0.90379,0.66524,1.4211,1.14921,1.17255,0.00601792,0.00601792,0.00601792
89,6939.53,1.44325,1.53365,1.22019,0.88571,0.86382,0.90532,0.66607,1.41748,1.14919,1.16845,0.00594097,0.00594097,0.00594097
90,7017.08,1.44362,1.507,1.21373,0.89084,0.86415,0.90629,0.67019,1.41291,1.13674,1.16368,0.00586379,0.00586379,0.00586379
91,7094.32,1.43843,1.49305,1.2119,0.88912,0.86825,0.90876,0.67277,1.41262,1.13057,1.16468,0.00578639,0.00578639,0.00578639
92,7172,1.43726,1.50484,1.20836,0.88652,0.87102,0.90889,0.67609,1.40689,1.12834,1.1647,0.0057088,0.0057088,0.0057088
93,7249.31,1.42952,1.47072,1.21326,0.88916,0.86783,0.90909,0.67831,1.40049,1.11688,1.15876,0.00563104,0.00563104,0.00563104
94,7326.67,1.42356,1.48578,1.20255,0.8764,0.8742,0.90988,0.67834,1.40884,1.12221,1.15804,0.00555312,0.00555312,0.00555312
95,7404.09,1.41168,1.47286,1.20246,0.88739,0.86578,0.90823,0.67919,1.40449,1.12534,1.15429,0.00547507,0.00547507,0.00547507
96,7481.52,1.41773,1.46656,1.20193,0.89156,0.86404,0.90865,0.67943,1.39464,1.12459,1.14918,0.0053969,0.0053969,0.0053969
97,7558.64,1.40784,1.46104,1.19346,0.88781,0.86146,0.90856,0.68056,1.39333,1.11692,1.14736,0.00531864,0.00531864,0.00531864
98,7635.93,1.40761,1.4448,1.19512,0.89,0.86067,0.91047,0.683,1.3908,1.10924,1.14521,0.0052403,0.0052403,0.0052403
99,7713.61,1.39054,1.4436,1.19407,0.89624,0.86385,0.90787,0.68246,1.38703,1.10609,1.14333,0.0051619,0.0051619,0.0051619
100,7790.43,1.40479,1.45428,1.19587,0.89691,0.86586,0.91015,0.68504,1.38399,1.10412,1.13967,0.00508346,0.00508346,0.00508346
101,7867.83,1.38237,1.42268,1.18103,0.90606,0.8601,0.91195,0.68559,1.3767,1.09893,1.13612,0.005005,0.005005,0.005005
102,7945.47,1.38116,1.43265,1.19211,0.90084,0.85987,0.91395,0.68807,1.37648,1.0986,1.13761,0.00492654,0.00492654,0.00492654
103,8023.02,1.38085,1.43277,1.18652,0.89632,0.86545,0.91574,0.68977,1.36941,1.08926,1.13335,0.0048481,0.0048481,0.0048481
104,8100.66,1.37957,1.39968,1.184,0.8989,0.86385,0.91618,0.69,1.36824,1.08886,1.13375,0.0047697,0.0047697,0.0047697
105,8177.87,1.36908,1.40588,1.18358,0.90223,0.86465,0.91717,0.69141,1.36103,1.08761,1.13191,0.00469136,0.00469136,0.00469136
106,8255.5,1.36624,1.41079,1.18319,0.90196,0.86434,0.91732,0.69319,1.35908,1.08229,1.13231,0.0046131,0.0046131,0.0046131
107,8332.93,1.35895,1.4028,1.18263,0.90102,0.86249,0.9162,0.69322,1.35869,1.08401,1.13475,0.00453493,0.00453493,0.00453493
108,8409.72,1.34091,1.36843,1.17192,0.90382,0.86043,0.91619,0.694,1.35415,1.08295,1.13451,0.00445688,0.00445688,0.00445688
109,8487.15,1.35326,1.39172,1.17994,0.8962,0.86306,0.91579,0.69523,1.35023,1.08321,1.13499,0.00437896,0.00437896,0.00437896
110,8564.78,1.33414,1.35349,1.16934,0.89296,0.86306,0.91427,0.69624,1.35251,1.07927,1.13682,0.0043012,0.0043012,0.0043012
